id,category,text,correct_answer,answers
51,Gry Wideo,Kiedy została wydana gra „Portal 2”?,2011,2007-2009-2014-2011-

52,Gry Wideo,Tetris to najlepiej sprzedająca się gra wideo wszechczasów.,Fałsz,Prawda-Fałsz-

53,Gry Wideo,Jak nazywa się „umiejętność ostateczna” Mercy w „Overwatch”?,Valkyrie,Rocket Barrage-Earthshatter-Molten Core-Valkyrie-

54,Gry Wideo,W Dota 2 Wraith King był wcześniej znany jako...,Król Szkieletów,Piekielny Król-Król Czaszek-Król Żniwiarzy-Król Szkieletów-

55,Gry Wideo,W Pokémon Sun and Moon samiec Salandita może ewoluować w Salazzle.,Fałsz,Prawda-Fałsz-

56,Gry Wideo,Która gra Animal Crossing była na Nintendo Wii?,Animal Crossing: City Folk,Animal Crossing: New Leaf-Animal Crossing: Wild World-Animal Crossing: City Folk-Animal Crossing: Population Growing!-

57,Gry Wideo,"Którego dnia w „Papers, Please” pojawia się mężczyzna w czerwieni?",Dzień 23,Dzień 15-Dzień 23-Dzień 20-Dzień 17-

58,Gry Wideo,Kto występuje w Brutal Legend?,Jack Black,Jack Black-Kanye West-Lemmy-Ozzy Osbourne-

59,Gry Wideo,W jakim mieście urodził się Seamus „Sledge” Cowden z „Tom Clancy's Rainbow Six Siege”?,John O'Groats,Brawl-Talmine-John O'Groats-Kearvaig-

60,Gry Wideo,W której grze z serii „Dark Souls” gracz gra jako „Ashen One”?,Dark Souls III,Demon Souls-Dark Souls I-Bloodborne-Dark Souls III-

61,Gry Wideo,Jak ma na imię ojciec Clementine w „The Walking Dead: Season One” Telltale Games?,Ed,Lee-Charles-Ed-Walter-

62,Gry Wideo,W latach 80. usługa o nazwie Gameline umożliwiała użytkownikom pobieranie gier na jaką konsolę?,Atari 2600,ColecoVision-Sega Genesis-Atari 2600-Nintendo Entertainment System-

63,Gry Wideo,Jaki jest podtytuł Gran Turismo 3?,A-Spec,Championship-Nitro-A-Spec-Drive-

64,Gry Wideo,Która klasa w grze MMO RPG „Realm of the Mad God” jest znana z najwyższej możliwej obrony?,Rycerz,Mag-Łucznik-Wojownik-Rycerz-

65,Gry Wideo,Shang Tsung jest grywalną postacią w Mortal Kombat XL.,Fałsz,Prawda-Fałsz-

66,Gry Wideo,W grze wideo „Splatoon” pierwotnie grywalnymi postaciami miały być króliki zamiast kałamarnic.,Prawda,Prawda-Fałsz-

67,Gry Wideo,"W grze Half-life, jaki typ amerykańskich sił zbrojnych rozpoczyna oczyszczanie ośrodka badawczego Black Mesa?",The HECU,Navy Seals-The Combine-The HECU-The Marines-

68,Gry Wideo,W którym roku została wydana gra mobilna „Jetpack Joyride”?,2011,2009-2012-2014-2011-

69,Zwierzęta,Jakim zwierzęciem jest paskówka?,Ropucha,Ropucha-Ptak-Owad-Ryba-

70,Zwierzęta,"Ceratosaurus, dinozaur znany z posiadania rogu na czubku nosa, jest również znany jako potomek Tyranozaura.",Fałsz,Prawda-Fałsz-

71,Zwierzęta,Ośmiornica może zmieścić się w każdej dziurze większej niż jej dziób.,Prawda,Prawda-Fałsz-

72,Zwierzęta,Jaka jest naukowa nazwa współczesnego człowieka?,Homo Sapiens,Homo Ergaster-Homo Erectus-Homo Neanderthalensis-Homo Sapiens-

73,Zwierzęta,"Kakapo to duża, nielotna, nocna papuga pochodząca z jakiego kraju?",Nowa Zelandia,Republika Południowej Afryki-Nowa Zelandia-Australia-Madagaskar-

74,Zwierzęta,Jakiego koloru jest skóra niedźwiedzia polarnego?,Czarnego,Zielonego-Białego-Różowego-Czarnego-

75,Zwierzęta,Hippocampus to łacińska nazwa jakiego stworzenia morskiego?,Konika Morskiego,Delfina-Ośmiornicy-Wieloryba-Konika Morskiego-

76,Zwierzęta,Kaszmir to wełna z jakiego zwierzęcia?,Kozy,Wielbłąda-Kozy-Owcy-Lamy-

77,Zwierzęta,Jaka jest naukowa nazwa niedźwiedzia polarnego?,Ursus Maritimus,Ursus Spelaeus-Ursus Maritimus-Polar Bear-Ursus Arctos-

78,Zwierzęta,Ile nóg mają motyle?,6,0-2-6-4-

79,Zwierzęta,Ile jest znanych żywych gatunków hien?,4,6-4-8-2-

80,Zwierzęta,Jaka jest naukowa nazwa geparda?,Acinonyx jubatus,Acinonyx jubatus-Felis catus-Lynx rufus-Panthera onca-

81,Zwierzęta,Jaka jest naukowa nazwa papużki falistej?,Melopsittacus undulatus,Melopsittacus undulatus-Ara macao-Nymphicus hollandicus-Pyrrhura molinae-

82,Zwierzęta,W 2016 roku IUCN przeklasyfikował status pand wielkich z zagrożonych na wrażliwe.,Prawda,Prawda-Fałsz-

83,Zwierzęta,Średnia długość życia żbika to tylko około 5-6 lat.,Fałsz,Prawda-Fałsz-

84,Zwierzęta,Króliki to gryzonie.,Fałsz,Prawda-Fałsz-

85,Zwierzęta,Dziobak jest ssakiem.,Prawda,Prawda-Fałsz-

86,Zwierzęta,Jakim typem stworzenia jest Bonobo?,Małpą,Małpą-Żbikiem-Papugą-Lwem-

87,Zwierzęta,Gąsienica ma więcej mięśni niż ludzie.,Prawda,Prawda-Fałsz-

88,Zwierzęta,"Jak nazywa się bogate w miedź białko, które tworzy niebieską krew ośmiornicy antarktycznej?",Hemocyjanina,Hemocyjanina-Cytochrom-Metionina-Żelazo-

89,Zwierzęta,Z jakiej rodziny ryb przyrządzane jest danie Fugu?,Rozdymka,Łosoś-Rozdymka-Makrela-Okoń-

90,Zwierzęta,"Z definicji, gdzie żyje zwierzę głębinowe?",Na dnie oceanu,Na szczycie góry-Na pustyni-Wewnątrz drzewa-Na dnie oceanu-

91,Zwierzęta,Tygrysy mają jeden kolor skóry pomimo pasiastego futra.,Fałsz,Prawda-Fałsz-

92,Zwierzęta,"Króliki mogą zobaczyć, co jest za nimi, bez odwracania głowy.",Prawda,Prawda-Fałsz-

93,Zwierzęta,Jakiego koloru jest samica kosa?,Brązowego,Białego-Brązowego-Czarnego-Żółtego-

94,Zwierzęta,Ile zębów ma dorosły królik?,28,26-30-28-24-

95,Zwierzęta,Króliki są mięsożerne.,Fałsz,Prawda-Fałsz-

96,Zwierzęta,Jaki jest najdłuższy jadowity wąż na świecie?,Kobra królewska,Tajpan pustynny-Pęz dwubarwny-Anakonda zielona-Kobra królewska-

97,Zwierzęta,"Płazowi słodkowodnemu Aksolotlowi, mogą odrastać kończyny.",Prawda,Prawda-Fałsz-
